Episode,Reward,Epsilon,Duration_s,VisitedPairs,TD_Error
347,32.211,0.249,1.59,103843,0.115849
348,25.468,0.248,1.78,104142,0.086404
349,24.277,0.247,1.95,104441,0.083568
350,27.236,0.246,1.84,104740,0.092671
351,39.694,0.245,1.74,105039,0.133056
352,42.092,0.244,1.6,105338,0.140369
353,25.295,0.243,1.85,105637,0.085805
354,44.857,0.242,1.63,105936,0.150093
355,40.171,0.241,1.62,106235,0.13804
356,34.861,0.24,1.6,106534,0.116601
357,22.485,0.239,1.93,106833,0.076679
358,27.678,0.238,1.9,107132,0.092824
359,26.169,0.237,1.85,107431,0.087612
360,44.953,0.236,1.61,107730,0.15069
361,26.512,0.235,1.92,108029,0.090146
362,42.764,0.234,1.59,108328,0.142599
363,40.279,0.233,1.73,108627,0.136089
364,37.505,0.232,1.69,108926,0.130874
365,30.394,0.232,1.83,109225,0.10139
366,29.604,0.231,1.99,109524,0.098983
367,42.551,0.23,1.56,109823,0.141889
368,28.605,0.229,1.79,110122,0.096861
369,26.73,0.228,2.03,110421,0.097661
370,37.638,0.227,1.72,110720,0.126188
371,37.583,0.226,1.8,111019,0.12659
372,36.44,0.225,1.88,111318,0.122055
373,41.081,0.224,1.6,111617,0.138445
374,44.321,0.223,1.61,111916,0.147797
375,35.277,0.222,1.96,112215,0.118335
376,44.635,0.222,1.66,112514,0.151858
377,39.784,0.221,1.72,112813,0.132682
378,21.315,0.22,2.19,113112,0.075261
379,36.897,0.219,1.73,113411,0.123387
380,29.105,0.218,1.99,113710,0.09849
381,43.685,0.217,1.71,114009,0.145908
382,40.448,0.216,1.72,114308,0.134898
383,27.476,0.215,2.08,114607,0.09481
384,37.123,0.215,1.74,114906,0.12408
385,32.776,0.214,1.85,115205,0.111448
386,43.655,0.213,1.8,115504,0.145571
387,22.789,0.212,1.96,115803,0.081446
388,30.821,0.211,1.98,116102,0.103482
389,32.607,0.21,1.92,116401,0.109103
390,31.025,0.209,1.86,116700,0.106478
391,29.748,0.209,2.18,116999,0.09924
392,28.506,0.208,1.93,117298,0.101393
393,33.952,0.207,1.89,117597,0.119084
394,36.59,0.206,1.97,117896,0.122958
395,27.545,0.205,1.97,118195,0.092464
396,42.796,0.205,1.91,118494,0.142887
397,25.866,0.204,2.02,118793,0.088106
398,28.143,0.203,2.01,119092,0.09402
399,21.915,0.202,2.24,119391,0.082454
400,40.074,0.201,1.8,119690,0.135641
401,19.695,0.2,2.29,119989,0.074646
402,22.238,0.2,2.08,120288,0.076478
403,43.319,0.199,1.78,120587,0.144783
404,38.846,0.198,2.01,120886,0.129556
405,26.596,0.197,1.97,121185,0.093788
406,27.635,0.196,3.83,121484,0.092615
407,36.618,0.196,4.94,121783,0.12279
408,37.158,0.195,4.75,122082,0.124983
409,44.821,0.194,4.23,122381,0.150462
410,35.032,0.193,4.84,122680,0.116843
411,42.751,0.193,4.28,122979,0.143055
412,39.408,0.192,4.68,123278,0.13292
413,38.069,0.191,4.67,123577,0.128353
414,29.788,0.19,5.35,123876,0.099433
415,36.588,0.19,4.68,124175,0.122038
416,25.598,0.189,5.82,124474,0.087164
417,27.587,0.188,5.22,124773,0.093538
418,33.57,0.187,4.97,125072,0.115122
419,27.387,0.186,5.21,125371,0.093052
420,40.871,0.186,4.59,125670,0.13655
421,33.843,0.185,4.93,125969,0.114522
422,31.209,0.184,5.3,126268,0.104785
423,38.242,0.184,4.82,126567,0.127539
424,21.547,0.183,5.31,126866,0.0782
425,25.798,0.182,5.42,127165,0.086939
426,44.984,0.181,4.59,127464,0.151003
427,31.423,0.181,4.77,127763,0.105151
428,30.235,0.18,5.07,128062,0.101641
429,43.413,0.179,4.25,128361,0.145456
430,37.993,0.178,4.85,128660,0.128262
431,36.189,0.178,4.83,128959,0.122309
432,39.366,0.177,4.65,129258,0.132382
433,26.068,0.176,5.3,129557,0.092168
434,43.181,0.176,4.49,129856,0.144211
435,33.21,0.175,5.04,130155,0.112259
436,41.64,0.174,4.31,130454,0.14275
437,38.679,0.174,4.76,130753,0.129331
438,42.973,0.173,4.49,131052,0.143517
439,38.951,0.172,4.71,131351,0.130976
440,23.64,0.171,5.64,131650,0.080785
441,35.711,0.171,5.08,131949,0.119434
442,21.32,0.17,5.73,132248,0.074787
443,22.847,0.169,5.82,132547,0.076772
444,32.552,0.169,5.27,132846,0.108582
445,39.107,0.168,4.82,133145,0.13042
446,28.084,0.167,5.57,133444,0.094194
447,42.657,0.167,4.55,133743,0.142238
448,41.602,0.166,4.46,134042,0.142328
449,33.313,0.165,5.07,134341,0.111118
450,33.396,0.165,5.4,134640,0.111889
451,40.078,0.164,4.91,134939,0.138263
452,27.801,0.163,5.56,135238,0.093599
453,39.403,0.163,5.21,135537,0.13248
454,42.014,0.162,4.61,135836,0.142195
455,43.218,0.161,4.49,136135,0.144114
456,33.245,0.161,5.26,136434,0.114166
457,38.502,0.16,5.11,136733,0.129085
458,37.686,0.16,5.13,137032,0.12669
459,28.294,0.159,5.69,137331,0.094656
460,34.757,0.158,5.41,137630,0.115938
461,33.102,0.158,5.22,137929,0.11449
462,30.583,0.157,5.73,138228,0.10214
463,30.426,0.156,5.15,138527,0.10155
464,41.489,0.156,4.52,138826,0.138351
465,39.877,0.155,4.78,139125,0.132992
466,30.704,0.154,7.45,139424,0.104044
467,37.568,0.154,6.01,139723,0.125629
468,28.215,0.153,5.24,140022,0.094168
469,32.015,0.153,5.9,140321,0.106885
470,27.532,0.152,5.44,140620,0.092261
471,22.762,0.151,6.15,140919,0.079695
472,39.777,0.151,5.23,141218,0.134157
473,27.316,0.15,5.58,141517,0.092232
474,43.583,0.15,4.7,141816,0.146344
475,42.312,0.149,4.61,142115,0.142799
476,24.374,0.148,5.7,142414,0.082109
477,42.63,0.148,5.07,142713,0.143965
478,42.665,0.147,4.74,143012,0.142928
479,42.608,0.147,4.75,143311,0.142085
480,27.321,0.146,5.45,143610,0.091666
481,27.969,0.145,5.6,143909,0.09393
482,27.407,0.145,5.62,144208,0.091821
483,35.751,0.144,5.78,144507,0.121697
484,38.959,0.144,5.38,144806,0.130469
