Episode,Reward,Epsilon,Duration_s,VisitedPairs,TD_Error
240,42.753,0.382,1.33,71848,0.143243
241,32.026,0.381,1.6,72147,0.107657
242,21.372,0.379,1.68,72446,0.07588
243,31.384,0.378,1.53,72745,0.112387
244,22.726,0.376,1.64,73044,0.082512
245,40.097,0.375,1.33,73343,0.134713
246,23.469,0.373,1.65,73642,0.086315
247,36.585,0.372,1.44,73941,0.125041
248,27.475,0.37,1.69,74240,0.092027
249,25.154,0.369,1.6,74539,0.087386
250,33.101,0.367,1.54,74838,0.110746
251,32.668,0.366,1.39,75137,0.115265
252,21.569,0.364,1.57,75436,0.078658
253,42.431,0.363,1.28,75735,0.142258
254,42.73,0.361,1.28,76035,0.143157
255,41.673,0.36,1.24,76334,0.139717
256,41.719,0.358,1.22,76633,0.141863
257,34.196,0.357,1.36,76932,0.118111
258,36.271,0.356,1.55,77231,0.121307
259,39.537,0.354,1.24,77530,0.13506
260,32.203,0.353,1.42,77829,0.115115
261,27.955,0.351,1.44,78128,0.10739
262,25.763,0.35,1.65,78427,0.087223
263,22.365,0.349,1.66,78726,0.07824
264,37.717,0.347,1.5,79026,0.127665
265,26.711,0.346,1.57,79325,0.093535
266,23.338,0.344,1.62,79624,0.081267
267,21.24,0.343,1.55,79923,0.079282
268,43.46,0.342,1.3,80222,0.147905
269,30.611,0.34,1.56,80521,0.102458
270,41.597,0.339,1.33,80820,0.139467
271,39.44,0.338,1.41,81119,0.131861
272,32.403,0.336,1.63,81418,0.108421
273,38.189,0.335,1.42,81717,0.132379
274,41.334,0.333,1.33,82016,0.1385
275,41.06,0.332,1.31,82315,0.139927
276,32.057,0.331,1.51,82614,0.107272
277,32.886,0.329,1.54,82913,0.116412
278,36.75,0.328,1.36,83212,0.125397
279,23.259,0.327,1.63,83511,0.082808
280,30.411,0.326,1.54,83810,0.105195
281,26.018,0.324,1.7,84109,0.08732
282,20.933,0.323,1.71,84408,0.080926
283,35.571,0.322,1.51,84707,0.122788
284,45.441,0.32,1.39,85006,0.153725
285,20.074,0.319,1.71,85305,0.091925
286,41.294,0.318,1.56,85604,0.137949
287,20.994,0.317,1.97,85903,0.073477
288,45.0,0.315,1.55,86202,0.151977
289,27.935,0.314,1.88,86501,0.093871
290,20.189,0.313,1.85,86800,0.072388
291,35.196,0.312,1.69,87099,0.118056
292,41.84,0.31,1.6,87398,0.140087
293,40.102,0.309,1.68,87697,0.135132
294,29.98,0.308,1.82,87996,0.1003
295,27.048,0.307,1.95,88295,0.090896
296,43.794,0.305,1.74,88594,0.146716
297,41.42,0.304,1.57,88893,0.138994
298,31.499,0.303,1.85,89192,0.110822
299,29.633,0.302,1.91,89491,0.098864
300,43.333,0.3,1.6,89790,0.144988
301,22.144,0.299,1.87,90089,0.078197
302,35.156,0.298,1.79,90388,0.117534
303,31.417,0.297,1.85,90687,0.107239
304,38.519,0.296,1.73,90986,0.128809
305,41.643,0.295,1.64,91285,0.141012
306,32.265,0.293,1.9,91584,0.108261
307,41.973,0.292,1.99,91883,0.140741
308,37.062,0.291,1.85,92182,0.124271
309,28.569,0.29,1.92,92481,0.0971
310,43.413,0.289,1.7,92780,0.144769
311,41.083,0.288,1.67,93079,0.137336
312,34.306,0.286,1.93,93378,0.114983
313,42.025,0.285,1.57,93677,0.140133
314,27.079,0.284,2.01,93976,0.093478
315,41.288,0.283,1.55,94275,0.138475
316,30.454,0.282,1.83,94574,0.102072
317,29.578,0.281,1.88,94873,0.101172
318,31.745,0.28,1.9,95172,0.106493
319,39.882,0.278,1.65,95471,0.132999
320,32.367,0.277,1.74,95770,0.117965
321,33.977,0.276,1.8,96069,0.116268
322,30.927,0.275,2.11,96368,0.106839
323,27.628,0.274,2.07,96667,0.095698
324,36.391,0.273,1.79,96966,0.123195
325,39.116,0.272,2.17,97265,0.131119
326,25.532,0.271,1.99,97564,0.087002
327,39.502,0.27,1.81,97863,0.132609
328,24.573,0.269,2.17,98162,0.086056
329,41.127,0.267,1.69,98461,0.13831
330,25.617,0.266,2.17,98760,0.091311
331,40.467,0.265,1.73,99059,0.14146
332,43.029,0.264,1.68,99358,0.144854
333,29.145,0.263,2.18,99657,0.097566
334,29.285,0.262,2.25,99956,0.099447
335,27.843,0.261,2.22,100255,0.093858
336,23.765,0.26,2.2,100554,0.081352
337,20.384,0.259,2.41,100853,0.073274
338,41.32,0.258,1.96,101152,0.142694
339,33.509,0.257,2.39,101451,0.11354
340,33.047,0.256,2.32,101750,0.110899
341,21.707,0.255,2.78,102049,0.076022
342,40.858,0.254,2.31,102348,0.140869
343,34.643,0.253,2.4,102647,0.116035
344,34.744,0.252,2.17,102946,0.116215
345,25.68,0.251,2.47,103245,0.086935
346,25.843,0.25,2.83,103544,0.086485
347,24.2,0.249,2.62,103843,0.087662
348,32.879,0.248,2.18,104142,0.110702
349,40.051,0.247,1.81,104441,0.136181
350,41.162,0.246,1.83,104740,0.138677
351,29.808,0.245,2.02,105039,0.103836
352,28.844,0.244,2.14,105338,0.09689
353,43.706,0.243,1.9,105637,0.146077
354,41.62,0.242,2.1,105936,0.141022
355,24.088,0.241,2.47,106235,0.082403
356,21.767,0.24,2.55,106534,0.074331
357,24.362,0.239,2.12,106833,0.08348
358,29.817,0.238,2.05,107132,0.10136
359,42.227,0.237,1.76,107431,0.140814
360,34.846,0.236,1.9,107730,0.116226
361,25.916,0.235,2.15,108029,0.087707
362,30.951,0.234,1.99,108328,0.103543
363,40.985,0.233,1.78,108627,0.137767
364,42.556,0.232,1.76,108926,0.143745
365,32.822,0.232,3.35,109225,0.112674
366,43.017,0.231,4.06,109524,0.143675
367,25.068,0.23,5.06,109823,0.084378
368,34.102,0.229,4.76,110122,0.114296
