Episode,Reward,Loss,Duration_s,Epsilon
416,40.01648301,0.000522144,49.05,0.124
417,25.91398631,0.002147885,48.18,0.124
418,37.95322367,0.002952177,47.94,0.123
419,28.78419009,0.001058927,47.28,0.122
420,42.1814132,0.000237841,46.82,0.122
421,37.49330043,0.000290701,53.01,0.121
422,38.47667644,0.001421115,55,0.121
423,29.51908508,0.000616795,55.07,0.12
424,27.63265493,0.004274704,54.88,0.119
425,38.94266853,0.000721527,54.96,0.119
426,41.56274222,0.042613689,54.53,0.118
427,25.95600851,0.002967448,55.1,0.118
428,41.74323362,0.00010446,54.36,0.117
429,36.20462904,0.00203994,54.68,0.116
430,26.23387547,0.000135329,54.83,0.116
431,32.76726531,0.000186869,54.95,0.115
432,39.33793324,0.000521817,54.26,0.115
433,34.44047939,0.00042768,54.68,0.114
434,42.21253973,0.000801763,55.05,0.114
435,31.8137173,0.00050811,55.52,0.113
436,28.86894881,0.001811158,55.05,0.112
437,27.7523257,0.028739734,55.21,0.112
438,38.91234695,0.000246823,54.95,0.111
439,41.16670228,0.001560298,54.54,0.111
440,38.25999741,0.000697748,54.95,0.11
441,34.86683149,0.002109013,54.7,0.11
442,32.53587801,0.001768278,54.51,0.109
443,37.50726731,0.001806426,54.7,0.109
444,25.12438017,0.022198165,55.15,0.108
445,32.58962145,0.001704809,54.67,0.107
446,28.97382979,0.00029757,54.83,0.107
447,29.7989381,0.011652431,55.92,0.106
448,35.33997875,0.000722971,54.78,0.106
449,35.83267259,0.003126211,54.59,0.105
450,25.7350707,0.001474608,55.2,0.105
451,39.22768183,0.000422683,58.97,0.104
452,33.29640843,0.000514712,54.78,0.104
453,39.33755268,0.000467496,54.72,0.103
454,34.75642674,0.001706636,55.52,0.103
455,34.92992748,0.001284333,54.75,0.102
456,31.48188823,0.000198435,55.03,0.102
457,37.2019528,0.000509108,54.57,0.101
458,44.0291081,0.000227795,54.35,0.101
459,28.23622177,0.000726737,54.68,0.1
460,32.28658997,0.000505779,54.63,0.1
461,33.07656548,0.000863616,54.13,0.099
462,30.64249635,0.028346308,54.72,0.099
463,39.71574869,0.001817826,54.72,0.098
464,40.06465323,0.000560551,54.44,0.098
465,38.05692708,0.000254409,54.26,0.097
466,38.41695951,0.000962753,53.03,0.097
467,33.9315324,0.000270484,47.45,0.096
468,27.58714711,0.001517843,47.75,0.096
469,37.63837148,0.000997342,47.02,0.095
470,35.38041252,0.002356854,47.15,0.095
471,30.43680423,0.0018074,49.74,0.094
472,32.88023181,0.000305688,54.98,0.094
473,34.14764987,0.000317339,55.18,0.093
474,36.12069912,0.002525093,54.94,0.093
475,39.01775329,0.000584396,54.45,0.092
476,39.36391067,0.000485849,54.81,0.092
477,36.84192802,0.002061268,54.25,0.092
478,37.93293924,0.058938902,54.3,0.091
479,28.97986567,0.004854953,55.05,0.091
480,42.30541546,0.000212085,55.09,0.09
481,26.3838999,0.001554617,55.23,0.09
482,26.82998252,0.000232679,54.53,0.089
483,27.69504015,0.001235728,54.8,0.089
484,30.92100404,0.000350923,54.83,0.088
485,31.02322526,0.001683723,55.19,0.088
486,41.89424195,0.000740057,54.42,0.088
487,38.07032858,0.000324629,54.7,0.087
488,36.72655636,0.000381673,54.99,0.087
489,32.50105955,0.000251604,54.66,0.086
490,36.15891608,0.001382008,54.33,0.086
491,40.263619,0.000516154,54.37,0.085
492,35.43528084,0.001409358,54.12,0.085
493,41.28955493,0.000531182,54.79,0.084
494,39.34200984,0.000194971,54.1,0.084
495,30.89102917,0.000206713,54.57,0.084
496,26.20192072,0.001418827,54.86,0.083
497,25.83357467,0.01374085,54.91,0.083
498,44.39637576,0.001515412,54.67,0.082
499,32.33423483,0.000203228,54.65,0.082
500,28.53493207,0.000358474,54.98,0.082
501,38.27862512,0.000553983,54.74,0.081
502,35.33078836,0.000935142,54.72,0.081
503,22.50534423,0.034762118,54.81,0.08
504,29.06521303,0.000187796,54.91,0.08
505,31.90325634,0.001513895,55.08,0.08
506,42.83173224,0.001218083,53.96,0.079
507,35.53295719,0.000286856,54.46,0.079
508,40.85767288,0.002551756,53.99,0.078
509,24.56373319,0.000274453,54.66,0.078
510,31.50158137,0.000350681,54.22,0.078
511,40.53978597,0.000304874,54.16,0.077
512,40.88554514,0.00045905,54.52,0.077
513,36.67863572,0.000452837,54.2,0.076
514,35.67804943,0.000570684,54.07,0.076
515,37.52857214,0.002472091,54.38,0.076
516,34.75652946,0.00018154,54.57,0.075
517,32.34967154,0.001521129,54.82,0.075
518,29.68069271,0.000129897,59.48,0.075
519,40.09273181,0.000194106,54.45,0.074
520,40.08679158,0.000585865,54.55,0.074
521,41.08857809,0.000486356,54.61,0.073
522,34.04660945,0.000599004,55.26,0.073
523,34.44094706,0.012061919,54.51,0.073
524,41.92856184,0.000207908,54.91,0.072
525,38.09646494,0.000712977,54.06,0.072
526,28.06594676,0.033336919,54.39,0.072
527,39.86369905,0.001579331,54.56,0.071
528,29.88066445,0.000160516,54.6,0.071
529,37.07394222,0.000311291,54.94,0.071
530,31.81022904,0.000444064,54.48,0.07
531,31.36335676,0.000256948,54.81,0.07
532,38.96100251,0.000283435,54.25,0.069
533,40.39753155,0.000222766,54.35,0.069
534,33.65826093,0.000233848,56.02,0.069
535,42.42133426,0.000519951,54.55,0.068
536,25.71968667,0.000727488,54.85,0.068
537,40.62370882,0.000287635,54.77,0.068
538,33.53643133,0.000485982,54.72,0.067
539,37.37411498,0.000261339,54.22,0.067
540,38.04082168,0.000214464,54.46,0.067
541,36.44066981,0.00051936,54.41,0.066
542,35.32573786,0.001100594,54.16,0.066
543,34.99311177,0.000433791,54.37,0.066
544,27.09578094,0.013680726,54.53,0.065
545,40.10005415,0.000372624,57.89,0.065
546,39.84098709,0.000259322,54.73,0.065
547,32.79172318,0.000517847,54.32,0.064
548,41.41466677,0.000194167,54.44,0.064
549,40.21924696,0.013942711,54.28,0.064
550,40.03151768,0.001996429,54.38,0.063
551,28.13109092,0.000321996,54.98,0.063
552,33.10236603,0.000338357,54.54,0.063
553,38.08579737,0.000149021,54.76,0.063
554,39.74784294,0.00035134,55.1,0.062
555,44.28689635,0.000605769,54.43,0.062
556,26.91714376,0.014692801,54.61,0.062
557,39.78026212,0.001186034,54.6,0.061
558,36.27389925,0.00017712,54.01,0.061
559,38.20391973,0.00016596,54.44,0.061
560,41.66829631,0.001297462,54.17,0.06
561,34.37294713,0.000620143,54.54,0.06
562,31.37568105,0.000233041,54.52,0.06
563,40.92128129,0.000316306,54.38,0.059
564,45.8942914,0.000446298,54.31,0.059
565,37.36483512,0.00072843,56.57,0.059
566,33.68129341,0.000278787,90.77,0.059
567,25.54067275,0.000797156,175.17,0.058
568,42.64588337,0.000197252,84.66,0.058
569,38.14234124,0.000161861,78.12,0.058
570,35.36479068,0.000231018,74.87,0.057
571,32.16890378,0.000184982,76.48,0.057
572,39.91846848,0.001039752,73.54,0.057
573,33.71627787,0.000338949,89.34,0.057
574,44.61348008,0.00019705,84.19,0.056
575,39.71214505,0.000207671,86.43,0.056
576,41.89724724,0.000390181,92.16,0.056
577,39.92720709,0.000285195,86.57,0.055
578,41.18004432,0.000331947,94.33,0.055
579,45.52705405,0.000143682,87.58,0.055
580,34.95957536,0.035516009,88.89,0.055
581,43.32786225,0.000271599,85.46,0.054
582,34.62242913,0.001109146,94.82,0.054
583,37.77295331,0.000282656,88.64,0.054
584,26.86011573,0.000109355,84.48,0.054
585,42.52505209,0.000353906,87.81,0.053
586,40.1634583,0.000270409,95.18,0.053
587,32.05065486,0.013368382,86.67,0.053
588,40.29799893,0.000355667,89.06,0.052
589,26.98156006,0.00019328,84.47,0.052
590,38.33627858,0.000233546,101.04,0.052
591,39.40304973,0.000217993,91.82,0.052
592,37.77122301,0.001456634,92.15,0.051
593,42.4832418,0.00174586,94.57,0.051
594,34.87379447,0.000318071,90.99,0.051
595,41.66640561,0.00052938,94.39,0.051
596,41.79148242,0.001303691,91.96,0.05
597,30.01592322,0.000314861,90.34,0.05
598,46.70027401,0.001038029,96.56,0.05
599,25.54608498,0.000388024,101.45,0.05
600,27.27825958,0.000837173,97.52,0.05
601,39.97693868,0.00108364,91.1,0.05
602,27.52037184,0.000612022,96.87,0.05
603,36.78581238,0.000317472,70.62,0.05
604,41.25302206,0.000574583,79.75,0.05
605,31.19159073,0.000304568,48.11,0.05
606,41.18585093,0.001031273,46.98,0.05
607,31.07455234,0.000228412,47.05,0.05
608,38.78509601,0.000188173,46.74,0.05
609,39.35430264,0.000195482,46.94,0.05
610,37.93988045,0.00150022,53.69,0.05
611,39.48953021,0.000510102,54.35,0.05
612,41.79628011,0.000495227,54.23,0.05
613,40.38868287,0.000141689,53.91,0.05
614,32.13655995,0.000485063,53.65,0.05
615,29.3606246,0.000961487,53.79,0.05
616,31.57285206,0.000657429,53.93,0.05
617,45.46481099,0.000375541,53.87,0.05
618,33.01642003,0.000273692,54.08,0.05
619,34.04982459,0.000563307,54.11,0.05
620,35.70915595,0.000389015,53.98,0.05
621,33.49989022,0.000407146,54.03,0.05
622,42.55395564,0.000203801,53.62,0.05
623,38.22298686,0.000442779,53.45,0.05
624,27.33410239,0.000709108,58.03,0.05
625,38.36101693,0.000608781,54.8,0.05
626,39.48559311,0.000467554,53.63,0.05
627,41.15020043,0.000302406,53.92,0.05
628,38.81311571,0.000857334,53.87,0.05
629,40.98626298,0.000210261,53.91,0.05
630,35.20678345,0.000682853,54.09,0.05
631,-5.384949436,0.000493296,53.81,0.05
632,36.46909509,0.000420075,53.83,0.05
633,39.94791505,0.000209547,53.53,0.05
634,22.95815292,0.000411028,54.02,0.05
