Episode,Reward,Steps,Duration(s),ActorLoss,CriticLoss,Entropy,AdvantageMean,AdvantageStd,ValueMean
24,26.18506245438063,300,74.9,0.00306,17064.719551,0.01,-0.0,1.0,342.22824
25,29.075616891526,300,72.79,-0.003143,12944.852144,0.01,-0.0,1.0,301.62082
26,33.89327570577573,300,81.95,0.004624,7467.480015,0.01,-0.0,1.0,231.8744
27,41.17154528972709,300,79.31,0.010644,1377.11995,0.01,0.0,1.0,102.70215
28,45.23559399354853,300,75.27,0.001675,52.009651,0.01,0.0,1.0,23.761395
29,41.96498551953097,300,86.35,0.001716,1531.417822,0.01,-0.0,1.0,108.61324
30,30.935345294436193,300,75.99,-0.005516,11665.176758,0.01,0.0,1.0,287.55255
31,38.81206529161076,300,76.26,-0.005816,4011.175975,0.01,0.0,1.0,174.98055
32,30.812100609827887,300,77.03,-0.001731,9788.69498,0.01,0.0,1.0,263.92987
33,34.09495037790493,300,73.25,0.001926,6448.87918,0.01,0.0,1.0,213.62811
34,34.89679781497964,300,79.89,0.000229,7799.686594,0.01,0.0,1.0,235.10094
35,47.27481693390786,300,74.11,0.00089,66.245244,0.01,-0.0,1.0,27.273254
36,25.748060735560742,300,80.27,-6.2e-05,17328.622842,0.01,-0.0,1.0,342.1798
37,45.40951355042262,300,76.08,0.001757,58.027488,0.01,0.0,1.0,24.931143
38,41.994408831908814,300,78.52,-0.002337,932.315051,0.01,0.0,1.0,90.22684
39,39.427367497822026,300,76.98,0.004324,2907.453093,0.01,0.0,1.0,144.82356
40,34.169898283534664,300,86.11,-0.002804,6556.168601,0.01,0.0,1.0,216.9293
41,42.56032469214293,300,80.5,-0.005732,806.384072,0.01,0.0,1.0,82.70248
42,33.22172217513126,300,82.9,-0.003263,7968.081509,0.01,-0.0,1.0,239.49194
43,46.065377551741186,300,84.04,-0.008139,56.030876,0.01,-0.0,1.0,24.926588
44,43.41776300299028,300,76.62,-0.004115,1043.974159,0.01,0.0,1.0,91.181
45,46.69413658731837,300,78.92,0.000716,60.003624,0.01,-0.0,1.0,26.41964
46,32.30381171858445,300,76.25,-0.004624,10576.973877,0.01,0.0,1.0,274.71848
47,31.008922558922546,300,77.25,0.003722,9992.003435,0.01,-0.0,1.0,265.5642
48,30.136254444208983,300,77.98,-0.001465,11962.534399,0.01,-0.0,1.0,295.3358
49,34.47706964752418,300,74.39,-0.001954,7784.343682,0.01,-0.0,1.0,237.06743
50,32.28571966753786,300,79.46,-0.000308,9879.734429,0.01,0.0,1.0,262.91177
51,44.00743477902567,300,77.62,-0.004112,476.711936,0.01,0.0,1.0,66.56936
52,47.504753832026566,300,72.6,-0.001649,75.594197,0.01,-0.0,1.0,28.995287
53,46.73281474417832,300,42.39,-0.000627,226.95487,0.01,-0.0,1.0,49.660633
54,32.38134550634551,300,42.53,-0.004826,10541.903286,0.01,-0.0,1.0,273.53494
55,31.430554378281666,300,42.55,-0.005807,11481.307197,0.01,0.0,1.0,288.37772
56,37.67087188905373,300,43.85,-0.002002,4867.904661,0.01,0.0,1.0,184.22195
57,37.96795313272588,300,44.04,0.000509,3993.458926,0.01,0.0,1.0,175.7876
58,33.340393739257365,300,52.72,0.003808,8805.957119,0.01,-0.0,1.0,250.6368
59,45.36627463445645,300,52.36,0.000894,50.358219,0.01,0.0,1.0,23.304308
60,38.703925325516266,300,49.53,-0.001176,2850.666794,0.01,0.0,1.0,143.55629
61,47.21081384945023,300,49.44,-0.00241,162.063909,0.01,0.0,1.0,43.13959
62,46.423388606343174,300,49.16,-0.00322,77.747742,0.01,-0.0,1.0,28.048952
63,28.843570024251854,300,50.14,0.000515,11833.889194,0.01,-0.0,1.0,290.26056
64,44.01497698429515,300,49.55,-0.003137,323.851388,0.01,-0.0,1.0,57.9242
65,47.43231087094722,300,49.85,-0.003368,116.619992,0.01,-0.0,1.0,34.80358
66,39.83234000847638,300,49.53,0.000362,1777.976416,0.01,0.0,1.0,116.27128
67,30.764598785053337,300,49.77,-0.005734,9606.292886,0.01,0.0,1.0,261.00766
68,38.613716123943384,300,49.69,-0.003172,4034.274868,0.01,0.0,1.0,170.2206
69,44.38602899625627,300,49.57,-0.002382,45.152318,0.01,-0.0,1.0,22.055908
70,47.30955122318757,300,49.61,-0.003777,63.230731,0.01,-0.0,1.0,26.581335
