Episode,Reward,Steps,Duration(s),ActorLoss,CriticLoss,Entropy,AdvantageMean,AdvantageStd,ValueMean
127,-108.03634450566271,300,53.38,0.000582,17546.768794,0.01,0.0,1.0,-276.4751
128,-102.90854023922209,300,52.54,1.6e-05,24122.944072,0.01,0.0,1.0,-330.37158
129,-115.22585882131337,300,53.57,-0.001805,10731.528958,0.01,0.0,1.0,-195.6942
130,-101.83986602622966,300,52.95,0.00059,27273.708867,0.01,0.0,1.0,-351.91187
131,-110.81585287608024,300,53.25,8.7e-05,14569.814434,0.01,-0.0,1.0,-243.61258
132,-95.2370652916107,300,52.5,0.001408,39367.767861,0.01,0.0,1.0,-444.34708
133,-103.98626062489697,300,52.76,-0.003066,23473.939631,0.01,0.0,1.0,-323.6496
134,-99.83898601398595,300,53.04,-0.00251,29447.034355,0.01,0.0,1.0,-369.6494
135,-106.03288155447241,300,53.97,0.000911,21557.224663,0.01,0.0,1.0,-307.42355
136,-110.62619287278378,300,53.13,0.00079,15036.500094,0.01,0.0,1.0,-248.1952
137,-100.28703909726636,300,53.21,0.000304,29021.244229,0.01,0.0,1.0,-364.71225
138,-112.67868133549956,300,53.15,0.001403,13955.928833,0.01,-0.0,1.0,-231.61424
139,-108.0289362152999,300,57.25,-0.003289,18702.061704,0.01,0.0,1.0,-283.0102
140,-108.71135510112778,300,53.3,0.000174,18304.859868,0.01,-0.0,1.0,-279.04526
141,-94.67770007770012,300,52.7,6.9e-05,40672.783301,0.01,0.0,1.0,-447.5647
142,-98.83053613053619,300,53.86,-0.003073,33347.802954,0.01,-0.0,1.0,-392.7246
143,-106.02968025240757,300,54.55,-0.002908,21823.472778,0.01,0.0,1.0,-308.00775
144,-102.85108868404319,300,52.8,-0.000996,26786.818359,0.01,0.0,1.0,-347.76624
145,-113.99103358762456,300,53.1,0.000341,10460.508381,0.01,-0.0,1.0,-201.7574
146,-110.32785165171519,300,53.29,-0.001926,15463.458174,0.01,0.0,1.0,-249.65094
147,-114.98500300204843,300,53.05,-0.00075,11211.812283,0.01,-0.0,1.0,-200.05756
148,-93.93294542158176,300,53.14,-0.002452,38179.212461,0.01,-0.0,1.0,-433.92953
149,-109.39735702008434,300,52.75,-0.002136,16120.709014,0.01,0.0,1.0,-258.7099
150,-106.36945857173127,300,53.03,-0.002363,20716.394409,0.01,-0.0,1.0,-298.81342
151,-100.25296496432863,300,52.93,-0.002786,29705.304106,0.01,0.0,1.0,-372.7699
152,-100.38581208353929,300,52.98,0.000214,29966.811235,0.01,-0.0,1.0,-371.33957
153,-95.0591939205575,300,53.21,-0.002744,41803.707432,0.01,0.0,1.0,-450.28818
154,-102.51227131454411,300,52.9,0.000134,24646.817817,0.01,-0.0,1.0,-335.2603
155,-93.73846889642347,300,52.96,-0.001118,40422.90293,0.01,0.0,1.0,-442.75052
156,-97.80074580301854,300,52.58,-0.003401,33918.294004,0.01,0.0,1.0,-397.29416
157,-111.4885006828189,300,53.11,-0.001607,13652.313835,0.01,0.0,1.0,-232.53156
158,-100.09160250523884,300,53.06,0.000684,28590.775771,0.01,-0.0,1.0,-365.7791
159,-100.83341221068498,300,52.6,-0.000956,29982.682939,0.01,-0.0,1.0,-370.27405
160,-99.18870229097496,300,53.02,-0.001586,31941.363384,0.01,0.0,1.0,-382.47928
161,-107.70286371877283,300,52.96,-0.000525,19073.336697,0.01,0.0,1.0,-281.46335
162,-97.07502177956724,300,52.34,-5.7e-05,35065.520181,0.01,0.0,1.0,-408.25415
163,-110.70871771326321,300,53.32,-0.0023,14466.57127,0.01,0.0,1.0,-240.32805
164,-99.39803159803158,300,52.76,0.001709,30286.506519,0.01,-0.0,1.0,-378.5981
165,-114.20615714252082,300,53.38,-0.002635,10703.950005,0.01,-0.0,1.0,-203.20029
166,-93.51213739963738,300,53.05,0.000114,38559.020156,0.01,0.0,1.0,-436.36157
167,-108.70211585552495,300,53.24,-0.001997,16436.003165,0.01,0.0,1.0,-261.7115
168,-106.30027577641216,300,53.1,0.001527,21895.364756,0.01,0.0,1.0,-306.92203
169,-96.9074992347719,300,53.33,-0.000306,34692.5248,0.01,-0.0,1.0,-405.49512
170,-115.6948938687575,300,53.29,0.00036,9160.383766,0.01,-0.0,1.0,-180.77437
171,-104.37915989734174,300,53.21,0.002097,22079.682495,0.01,-0.0,1.0,-318.79956
172,-105.94080549080545,300,53.22,0.00052,21453.636646,0.01,0.0,1.0,-307.80637
173,-99.2917723269996,300,52.84,-0.001792,31140.660056,0.01,0.0,1.0,-379.42276
174,-100.43328565374021,300,53.19,-0.000417,30832.793657,0.01,0.0,1.0,-374.2303
175,-115.68079277624727,300,53.16,-0.002817,10026.523206,0.01,-0.0,1.0,-187.01318
176,-114.50798073979898,300,53.09,-0.006092,11636.554496,0.01,0.0,1.0,-203.13179
177,-112.36381619222531,300,53.19,-0.000647,12727.114353,0.01,0.0,1.0,-224.5981
178,-97.21625344352613,300,117.1,-0.005018,34031.135142,0.01,0.0,1.0,-403.20667
179,-96.57552064938429,300,141.82,0.001238,34809.186553,0.01,-0.0,1.0,-410.35272
180,-97.04437733983185,300,141.68,-0.004739,37399.077832,0.01,-0.0,1.0,-417.86072
181,-107.78969620446892,300,92.09,-0.004005,18393.390774,0.01,0.0,1.0,-277.34952
182,-108.93791469473288,300,46.85,-0.002857,16070.296101,0.01,-0.0,1.0,-260.3254
183,-109.16003449412537,300,48.04,-0.002728,15865.172974,0.01,-0.0,1.0,-257.29202
184,-110.28622589531675,300,51.99,-0.000153,14564.963162,0.01,0.0,1.0,-243.95164
185,-95.59145946645947,300,53.05,0.001545,39200.978843,0.01,-0.0,1.0,-440.84338
186,-96.37348749735122,300,53.36,-0.00092,38810.926396,0.01,-0.0,1.0,-429.4021
187,-108.85975371429925,300,53.57,0.000704,16150.795048,0.01,0.0,1.0,-262.51865
188,-102.79765899084077,300,52.71,-0.002584,25108.541311,0.01,-0.0,1.0,-336.7424
189,-100.97634680134678,300,57.31,-0.004541,28189.268672,0.01,0.0,1.0,-357.837
190,-97.7538123072214,300,52.65,-0.000461,33846.239922,0.01,0.0,1.0,-399.62152
191,-116.69438587506767,300,53.26,-7e-06,8713.089124,0.01,-0.0,1.0,-175.58617
192,-114.27030414871335,300,53.3,0.000662,10747.217617,0.01,0.0,1.0,-201.76425
193,-102.07232317345957,300,52.77,-0.00152,28024.812729,0.01,-0.0,1.0,-352.66263
194,-94.22707994867085,300,53.1,-0.001659,41819.898066,0.01,0.0,1.0,-452.36963
195,-104.39572031503853,300,53.14,-0.000655,24038.672344,0.01,-0.0,1.0,-325.78693
196,-114.4659982694074,300,53.15,-0.005214,10777.442626,0.01,0.0,1.0,-202.38223
197,-100.85461020461025,300,53.23,-0.000972,28552.798286,0.01,0.0,1.0,-360.15482
198,-94.82788226083682,300,52.93,-0.003026,39486.39353,0.01,0.0,1.0,-441.04245
199,-98.92161769207223,300,53.24,-0.000258,32540.750356,0.01,0.0,1.0,-389.50708
200,-117.17277289209113,300,54.1,-0.003745,8559.614751,0.01,-0.0,1.0,-170.04657
201,-102.54078989192627,300,57.3,-0.004019,26722.606123,0.01,0.0,1.0,-345.93015
202,-99.39338224906406,300,53.61,-0.004485,31979.320786,0.01,-0.0,1.0,-383.05072
203,-97.53630830449015,300,53.58,-0.00204,33107.246108,0.01,0.0,1.0,-397.05716
204,-110.44274534388175,300,53.45,0.00158,15830.581846,0.01,-0.0,1.0,-255.39778
