Episode,Reward,Loss,Duration_s,Epsilon
232,23.19039492,0.000528836,83.71,0.313
233,23.65541899,0.002901,92.35,0.311
234,30.27345188,0.000701434,82.85,0.309
235,36.76458642,0.002145678,80.64,0.308
236,22.1600189,0.001451811,85.69,0.306
237,23.53182407,0.001628367,87.55,0.305
238,32.41118292,0.001537102,88.79,0.303
239,32.70737003,0.001427236,87.77,0.302
240,31.32907248,0.001543941,89.74,0.3
241,22.28753826,0.004213047,89.9,0.299
242,19.14267588,0.000716337,88.3,0.297
243,32.70070901,0.000242432,89.73,0.296
244,30.39616474,0.000743948,88.5,0.294
245,29.73836824,0.000558678,92.51,0.293
246,34.53570083,0.000625243,87.16,0.291
247,36.39763162,0.001197575,93.34,0.29
248,17.92660639,0.001687814,88.15,0.288
249,19.85347502,0.001171478,86.78,0.287
250,24.86150932,0.000524368,85.23,0.286
251,29.50586341,0.000309039,90.69,0.284
252,16.16166149,0.003353685,89.01,0.283
253,36.15169115,0.001319097,70.55,0.281
254,31.47379212,0.001190771,75.74,0.28
255,30.2252122,0.000390538,77.97,0.279
256,41.16006716,0.000549956,78.74,0.277
257,20.64182118,0.001701287,91.8,0.276
258,40.5513727,0.001668447,101.11,0.274
259,31.29688287,0.000584804,90.1,0.273
260,36.88931006,0.001793465,86.45,0.272
261,38.90942938,0.000515694,86.44,0.27
262,36.70472558,0.000777955,85.79,0.269
263,25.30034112,0.00063579,91.23,0.268
264,16.62581879,0.001603293,84.85,0.266
265,27.52507152,0.000391622,83.98,0.265
266,18.67074003,0.000760305,85.88,0.264
267,28.34701914,0.000515288,88.99,0.262
268,31.9142768,0.000620063,86.84,0.261
269,36.65522209,0.002238606,85.66,0.26
270,39.05161493,0.00146235,82.59,0.258
271,38.95976902,0.001421962,72.77,0.257
272,22.2110911,0.000448244,94.98,0.256
273,29.92372678,0.001610645,98.78,0.255
274,39.80505139,0.00363959,92.22,0.253
275,20.37750759,0.001563227,94.12,0.252
276,38.47909868,0.001264873,77.88,0.251
277,27.63198565,0.000659505,60.5,0.249
278,22.15395358,0.001249939,63.86,0.248
279,41.09641285,0.001057363,87.66,0.247
280,19.24179028,0.001465678,92.5,0.246
281,23.49174407,0.001607947,83.87,0.245
282,33.96905035,0.000800975,85.37,0.243
283,32.05153487,0.000409672,71.58,0.242
284,32.72698871,0.001425157,57.98,0.241
285,32.15467348,0.000604803,53.7,0.24
286,41.18803213,0.002178123,53.09,0.238
287,35.9554287,0.000633128,52.19,0.237
288,19.04807751,0.000312491,52.55,0.236
289,31.01366756,0.001202178,59.27,0.235
290,29.15412988,0.000213148,59.55,0.234
291,27.40133885,0.000593644,58.95,0.233
292,35.02120682,0.000557684,58.58,0.231
293,35.05052418,0.001191412,58.28,0.23
294,34.1155203,0.000809551,53.68,0.229
295,39.75760784,0.000459061,52.51,0.228
296,23.41795431,0.00071929,52.72,0.227
297,28.92688688,0.000972331,52.52,0.226
298,18.06825275,0.000332593,52.58,0.225
299,25.235086,0.000478168,52.41,0.223
300,41.78289568,0.00040455,52.65,0.222
301,44.60079378,0.00117776,52.34,0.221
302,30.11112965,0.000267389,52.43,0.22
303,44.47142874,0.001608327,52.34,0.219
304,27.46562213,0.000213644,52.8,0.218
305,40.47078153,0.000337347,52.41,0.217
306,26.66750724,0.00094018,52.34,0.216
